TimeId,GameId,Day,Month,Year,StartTime
561,2014R1803,19,7,2014,7:40 PM
562,2014R1804,20,7,2014,12:40 PM
563,2014R1805,20,7,2014,4:40 PM
564,2014R1806,25,7,2014,6:40 PM
565,2014R1807,26,7,2014,4:40 PM
566,2014R1808,26,7,2014,7:40 PM
567,2014R1809,27,7,2014,4:40 PM
568,2014R1901,31,7,2014,6:10 PM
569,2014R1902,1,8,2014,7:50 PM
570,2014R1903,2,8,2014,1:10 PM
571,2014R1904,2,8,2014,4:40 PM
572,2014R1905,2,8,2014,7:40 PM
573,2014R1906,2,8,2014,7:40 PM
574,2014R1907,3,8,2014,1:10 PM
575,2014R1908,3,8,2014,3:20 PM
576,2014R1909,3,8,2014,4:40 PM
577,2014R2001,8,8,2014,7:50 PM
578,2014R2002,9,8,2014,1:45 PM
579,2014R2003,9,8,2014,2:10 PM
580,2014R2004,9,8,2014,4:40 PM
581,2014R2005,9,8,2014,7:10 PM
582,2014R2006,9,8,2014,7:40 PM
583,2014R2007,10,8,2014,1:10 PM
584,2014R2008,10,8,2014,3:20 PM
585,2014R2009,10,8,2014,2:40 PM
586,2014R2101,15,8,2014,7:50 PM
587,2014R2102,16,8,2014,1:45 PM
588,2014R2103,16,8,2014,2:10 PM
589,2014R2104,16,8,2014,4:40 PM
590,2014R2105,16,8,2014,7:10 PM
591,2014R2106,16,8,2014,7:40 PM
592,2014R2107,17,8,2014,1:10 PM
593,2014R2108,17,8,2014,3:20 PM
594,2014R2109,17,8,2014,2:40 PM
595,2014R2201,22,8,2014,7:20 PM
596,2014R2202,23,8,2014,1:45 PM
597,2014R2203,23,8,2014,2:10 PM
598,2014R2204,23,8,2014,4:40 PM
599,2014R2205,23,8,2014,5:40 PM
600,2014R2206,23,8,2014,7:40 PM
601,2014R2207,24,8,2014,1:10 PM
602,2014R2208,24,8,2014,3:20 PM
603,2014R2209,24,8,2014,4:40 PM
604,2014R2301,29,8,2014,7:50 PM
605,2014R2302,30,8,2014,1:45 PM
606,2014R2303,30,8,2014,1:10 PM
607,2014R2304,30,8,2014,4:40 PM
608,2014R2305,30,8,2014,7:40 PM
609,2014R2306,30,8,2014,7:40 PM
610,2014R2307,31,8,2014,1:10 PM
611,2014R2308,31,8,2014,2:50 PM
612,2014R2309,31,8,2014,4:40 PM
613,2014QF01,5,9,2014,7:50 PM
614,2014EF01,6,9,2014,7:15 PM
615,2014QF02,6,9,2014,2:45 PM
616,2014EF02,7,9,2014,2:50 PM
617,2014SF01,12,9,2014,7:50 PM
